station,year,month,day,hour,min,sec,lon,lat,TimeZone
北京,2023,3,20,6,0,0,116.405285,39.904989,8
北京,2023,3,20,6,1,0,116.405285,39.904989,8
北京,2023,3,20,6,2,0,116.405285,39.904989,8
北京,2023,3,20,6,3,0,116.405285,39.904989,8
北京,2023,3,20,6,4,0,116.405285,39.904989,8
北京,2023,3,20,6,5,0,116.405285,39.904989,8
北京,2023,3,20,6,6,0,116.405285,39.904989,8
北京,2023,3,20,6,7,0,116.405285,39.904989,8
北京,2023,3,20,6,8,0,116.405285,39.904989,8
北京,2023,3,20,6,9,0,116.405285,39.904989,8
北京,2023,3,20,6,10,0,116.405285,39.904989,8
北京,2023,3,20,6,11,0,116.405285,39.904989,8
北京,2023,3,20,6,12,0,116.405285,39.904989,8
北京,2023,3,20,6,13,0,116.405285,39.904989,8
北京,2023,3,20,6,14,0,116.405285,39.904989,8
北京,2023,3,20,6,15,0,116.405285,39.904989,8
北京,2023,3,20,6,16,0,116.405285,39.904989,8
北京,2023,3,20,6,17,0,116.405285,39.904989,8
北京,2023,3,20,6,18,0,116.405285,39.904989,8
北京,2023,3,20,6,19,0,116.405285,39.904989,8
北京,2023,3,20,6,20,0,116.405285,39.904989,8
北京,2023,3,20,6,21,0,116.405285,39.904989,8
北京,2023,3,20,6,22,0,116.405285,39.904989,8
北京,2023,3,20,6,23,0,116.405285,39.904989,8
北京,2023,3,20,6,24,0,116.405285,39.904989,8
北京,2023,3,20,6,25,0,116.405285,39.904989,8
北京,2023,3,20,6,26,0,116.405285,39.904989,8
北京,2023,3,20,6,27,0,116.405285,39.904989,8
北京,2023,3,20,6,28,0,116.405285,39.904989,8
北京,2023,3,20,6,29,0,116.405285,39.904989,8
北京,2023,3,20,6,30,0,116.405285,39.904989,8
北京,2023,3,20,6,31,0,116.405285,39.904989,8
北京,2023,3,20,6,32,0,116.405285,39.904989,8
北京,2023,3,20,6,33,0,116.405285,39.904989,8
北京,2023,3,20,6,34,0,116.405285,39.904989,8
北京,2023,3,20,6,35,0,116.405285,39.904989,8
北京,2023,3,20,6,36,0,116.405285,39.904989,8
北京,2023,3,20,6,37,0,116.405285,39.904989,8
北京,2023,3,20,6,38,0,116.405285,39.904989,8
北京,2023,3,20,6,39,0,116.405285,39.904989,8
北京,2023,3,20,6,40,0,116.405285,39.904989,8
北京,2023,3,20,6,41,0,116.405285,39.904989,8
北京,2023,3,20,6,42,0,116.405285,39.904989,8
北京,2023,3,20,6,43,0,116.405285,39.904989,8
北京,2023,3,20,6,44,0,116.405285,39.904989,8
北京,2023,3,20,6,45,0,116.405285,39.904989,8
北京,2023,3,20,6,46,0,116.405285,39.904989,8
北京,2023,3,20,6,47,0,116.405285,39.904989,8
北京,2023,3,20,6,48,0,116.405285,39.904989,8
北京,2023,3,20,6,49,0,116.405285,39.904989,8
北京,2023,3,20,6,50,0,116.405285,39.904989,8
北京,2023,3,20,6,51,0,116.405285,39.904989,8
北京,2023,3,20,6,52,0,116.405285,39.904989,8
北京,2023,3,20,6,53,0,116.405285,39.904989,8
北京,2023,3,20,6,54,0,116.405285,39.904989,8
北京,2023,3,20,6,55,0,116.405285,39.904989,8
北京,2023,3,20,6,56,0,116.405285,39.904989,8
北京,2023,3,20,6,57,0,116.405285,39.904989,8
北京,2023,3,20,6,58,0,116.405285,39.904989,8
北京,2023,3,20,6,59,0,116.405285,39.904989,8
北京,2023,3,20,7,0,0,116.405285,39.904989,8
北京,2023,3,20,7,1,0,116.405285,39.904989,8
北京,2023,3,20,7,2,0,116.405285,39.904989,8
北京,2023,3,20,7,3,0,116.405285,39.904989,8
北京,2023,3,20,7,4,0,116.405285,39.904989,8
北京,2023,3,20,7,5,0,116.405285,39.904989,8
北京,2023,3,20,7,6,0,116.405285,39.904989,8
北京,2023,3,20,7,7,0,116.405285,39.904989,8
北京,2023,3,20,7,8,0,116.405285,39.904989,8
北京,2023,3,20,7,9,0,116.405285,39.904989,8
北京,2023,3,20,7,10,0,116.405285,39.904989,8
北京,2023,3,20,7,11,0,116.405285,39.904989,8
北京,2023,3,20,7,12,0,116.405285,39.904989,8
北京,2023,3,20,7,13,0,116.405285,39.904989,8
北京,2023,3,20,7,14,0,116.405285,39.904989,8
北京,2023,3,20,7,15,0,116.405285,39.904989,8
北京,2023,3,20,7,16,0,116.405285,39.904989,8
北京,2023,3,20,7,17,0,116.405285,39.904989,8
北京,2023,3,20,7,18,0,116.405285,39.904989,8
北京,2023,3,20,7,19,0,116.405285,39.904989,8
北京,2023,3,20,7,20,0,116.405285,39.904989,8
北京,2023,3,20,7,21,0,116.405285,39.904989,8
北京,2023,3,20,7,22,0,116.405285,39.904989,8
北京,2023,3,20,7,23,0,116.405285,39.904989,8
北京,2023,3,20,7,24,0,116.405285,39.904989,8
北京,2023,3,20,7,25,0,116.405285,39.904989,8
北京,2023,3,20,7,26,0,116.405285,39.904989,8
北京,2023,3,20,7,27,0,116.405285,39.904989,8
北京,2023,3,20,7,28,0,116.405285,39.904989,8
北京,2023,3,20,7,29,0,116.405285,39.904989,8
北京,2023,3,20,7,30,0,116.405285,39.904989,8
北京,2023,3,20,7,31,0,116.405285,39.904989,8
北京,2023,3,20,7,32,0,116.405285,39.904989,8
北京,2023,3,20,7,33,0,116.405285,39.904989,8
北京,2023,3,20,7,34,0,116.405285,39.904989,8
北京,2023,3,20,7,35,0,116.405285,39.904989,8
北京,2023,3,20,7,36,0,116.405285,39.904989,8
北京,2023,3,20,7,37,0,116.405285,39.904989,8
北京,2023,3,20,7,38,0,116.405285,39.904989,8
北京,2023,3,20,7,39,0,116.405285,39.904989,8
北京,2023,3,20,7,40,0,116.405285,39.904989,8
北京,2023,3,20,7,41,0,116.405285,39.904989,8
北京,2023,3,20,7,42,0,116.405285,39.904989,8
北京,2023,3,20,7,43,0,116.405285,39.904989,8
北京,2023,3,20,7,44,0,116.405285,39.904989,8
北京,2023,3,20,7,45,0,116.405285,39.904989,8
北京,2023,3,20,7,46,0,116.405285,39.904989,8
北京,2023,3,20,7,47,0,116.405285,39.904989,8
北京,2023,3,20,7,48,0,116.405285,39.904989,8
北京,2023,3,20,7,49,0,116.405285,39.904989,8
北京,2023,3,20,7,50,0,116.405285,39.904989,8
北京,2023,3,20,7,51,0,116.405285,39.904989,8
北京,2023,3,20,7,52,0,116.405285,39.904989,8
北京,2023,3,20,7,53,0,116.405285,39.904989,8
北京,2023,3,20,7,54,0,116.405285,39.904989,8
北京,2023,3,20,7,55,0,116.405285,39.904989,8
北京,2023,3,20,7,56,0,116.405285,39.904989,8
北京,2023,3,20,7,57,0,116.405285,39.904989,8
北京,2023,3,20,7,58,0,116.405285,39.904989,8
北京,2023,3,20,7,59,0,116.405285,39.904989,8
北京,2023,3,20,8,0,0,116.405285,39.904989,8
北京,2023,3,20,8,1,0,116.405285,39.904989,8
北京,2023,3,20,8,2,0,116.405285,39.904989,8
北京,2023,3,20,8,3,0,116.405285,39.904989,8
北京,2023,3,20,8,4,0,116.405285,39.904989,8
北京,2023,3,20,8,5,0,116.405285,39.904989,8
北京,2023,3,20,8,6,0,116.405285,39.904989,8
北京,2023,3,20,8,7,0,116.405285,39.904989,8
北京,2023,3,20,8,8,0,116.405285,39.904989,8
北京,2023,3,20,8,9,0,116.405285,39.904989,8
北京,2023,3,20,8,10,0,116.405285,39.904989,8
北京,2023,3,20,8,11,0,116.405285,39.904989,8
北京,2023,3,20,8,12,0,116.405285,39.904989,8
北京,2023,3,20,8,13,0,116.405285,39.904989,8
北京,2023,3,20,8,14,0,116.405285,39.904989,8
北京,2023,3,20,8,15,0,116.405285,39.904989,8
北京,2023,3,20,8,16,0,116.405285,39.904989,8
北京,2023,3,20,8,17,0,116.405285,39.904989,8
北京,2023,3,20,8,18,0,116.405285,39.904989,8
北京,2023,3,20,8,19,0,116.405285,39.904989,8
北京,2023,3,20,8,20,0,116.405285,39.904989,8
北京,2023,3,20,8,21,0,116.405285,39.904989,8
北京,2023,3,20,8,22,0,116.405285,39.904989,8
北京,2023,3,20,8,23,0,116.405285,39.904989,8
北京,2023,3,20,8,24,0,116.405285,39.904989,8
北京,2023,3,20,8,25,0,116.405285,39.904989,8
北京,2023,3,20,8,26,0,116.405285,39.904989,8
北京,2023,3,20,8,27,0,116.405285,39.904989,8
北京,2023,3,20,8,28,0,116.405285,39.904989,8
北京,2023,3,20,8,29,0,116.405285,39.904989,8
北京,2023,3,20,8,30,0,116.405285,39.904989,8
北京,2023,3,20,8,31,0,116.405285,39.904989,8
北京,2023,3,20,8,32,0,116.405285,39.904989,8
北京,2023,3,20,8,33,0,116.405285,39.904989,8
北京,2023,3,20,8,34,0,116.405285,39.904989,8
北京,2023,3,20,8,35,0,116.405285,39.904989,8
北京,2023,3,20,8,36,0,116.405285,39.904989,8
北京,2023,3,20,8,37,0,116.405285,39.904989,8
北京,2023,3,20,8,38,0,116.405285,39.904989,8
北京,2023,3,20,8,39,0,116.405285,39.904989,8
北京,2023,3,20,8,40,0,116.405285,39.904989,8
北京,2023,3,20,8,41,0,116.405285,39.904989,8
北京,2023,3,20,8,42,0,116.405285,39.904989,8
北京,2023,3,20,8,43,0,116.405285,39.904989,8
北京,2023,3,20,8,44,0,116.405285,39.904989,8
北京,2023,3,20,8,45,0,116.405285,39.904989,8
北京,2023,3,20,8,46,0,116.405285,39.904989,8
北京,2023,3,20,8,47,0,116.405285,39.904989,8
北京,2023,3,20,8,48,0,116.405285,39.904989,8
北京,2023,3,20,8,49,0,116.405285,39.904989,8
北京,2023,3,20,8,50,0,116.405285,39.904989,8
北京,2023,3,20,8,51,0,116.405285,39.904989,8
北京,2023,3,20,8,52,0,116.405285,39.904989,8
北京,2023,3,20,8,53,0,116.405285,39.904989,8
北京,2023,3,20,8,54,0,116.405285,39.904989,8
北京,2023,3,20,8,55,0,116.405285,39.904989,8
北京,2023,3,20,8,56,0,116.405285,39.904989,8
北京,2023,3,20,8,57,0,116.405285,39.904989,8
北京,2023,3,20,8,58,0,116.405285,39.904989,8
北京,2023,3,20,8,59,0,116.405285,39.904989,8
北京,2023,3,20,9,0,0,116.405285,39.904989,8
北京,2023,3,20,9,1,0,116.405285,39.904989,8
北京,2023,3,20,9,2,0,116.405285,39.904989,8
北京,2023,3,20,9,3,0,116.405285,39.904989,8
北京,2023,3,20,9,4,0,116.405285,39.904989,8
北京,2023,3,20,9,5,0,116.405285,39.904989,8
北京,2023,3,20,9,6,0,116.405285,39.904989,8
北京,2023,3,20,9,7,0,116.405285,39.904989,8
北京,2023,3,20,9,8,0,116.405285,39.904989,8
北京,2023,3,20,9,9,0,116.405285,39.904989,8
北京,2023,3,20,9,10,0,116.405285,39.904989,8
北京,2023,3,20,9,11,0,116.405285,39.904989,8
北京,2023,3,20,9,12,0,116.405285,39.904989,8
北京,2023,3,20,9,13,0,116.405285,39.904989,8
北京,2023,3,20,9,14,0,116.405285,39.904989,8
北京,2023,3,20,9,15,0,116.405285,39.904989,8
北京,2023,3,20,9,16,0,116.405285,39.904989,8
北京,2023,3,20,9,17,0,116.405285,39.904989,8
北京,2023,3,20,9,18,0,116.405285,39.904989,8
北京,2023,3,20,9,19,0,116.405285,39.904989,8
北京,2023,3,20,9,20,0,116.405285,39.904989,8
北京,2023,3,20,9,21,0,116.405285,39.904989,8
北京,2023,3,20,9,22,0,116.405285,39.904989,8
北京,2023,3,20,9,23,0,116.405285,39.904989,8
北京,2023,3,20,9,24,0,116.405285,39.904989,8
北京,2023,3,20,9,25,0,116.405285,39.904989,8
北京,2023,3,20,9,26,0,116.405285,39.904989,8
北京,2023,3,20,9,27,0,116.405285,39.904989,8
北京,2023,3,20,9,28,0,116.405285,39.904989,8
北京,2023,3,20,9,29,0,116.405285,39.904989,8
北京,2023,3,20,9,30,0,116.405285,39.904989,8
北京,2023,3,20,9,31,0,116.405285,39.904989,8
北京,2023,3,20,9,32,0,116.405285,39.904989,8
北京,2023,3,20,9,33,0,116.405285,39.904989,8
北京,2023,3,20,9,34,0,116.405285,39.904989,8
北京,2023,3,20,9,35,0,116.405285,39.904989,8
北京,2023,3,20,9,36,0,116.405285,39.904989,8
北京,2023,3,20,9,37,0,116.405285,39.904989,8
北京,2023,3,20,9,38,0,116.405285,39.904989,8
北京,2023,3,20,9,39,0,116.405285,39.904989,8
北京,2023,3,20,9,40,0,116.405285,39.904989,8
北京,2023,3,20,9,41,0,116.405285,39.904989,8
北京,2023,3,20,9,42,0,116.405285,39.904989,8
北京,2023,3,20,9,43,0,116.405285,39.904989,8
北京,2023,3,20,9,44,0,116.405285,39.904989,8
北京,2023,3,20,9,45,0,116.405285,39.904989,8
北京,2023,3,20,9,46,0,116.405285,39.904989,8
北京,2023,3,20,9,47,0,116.405285,39.904989,8
北京,2023,3,20,9,48,0,116.405285,39.904989,8
北京,2023,3,20,9,49,0,116.405285,39.904989,8
北京,2023,3,20,9,50,0,116.405285,39.904989,8
北京,2023,3,20,9,51,0,116.405285,39.904989,8
北京,2023,3,20,9,52,0,116.405285,39.904989,8
北京,2023,3,20,9,53,0,116.405285,39.904989,8
北京,2023,3,20,9,54,0,116.405285,39.904989,8
北京,2023,3,20,9,55,0,116.405285,39.904989,8
北京,2023,3,20,9,56,0,116.405285,39.904989,8
北京,2023,3,20,9,57,0,116.405285,39.904989,8
北京,2023,3,20,9,58,0,116.405285,39.904989,8
北京,2023,3,20,9,59,0,116.405285,39.904989,8
北京,2023,3,20,10,0,0,116.405285,39.904989,8
北京,2023,3,20,10,1,0,116.405285,39.904989,8
北京,2023,3,20,10,2,0,116.405285,39.904989,8
北京,2023,3,20,10,3,0,116.405285,39.904989,8
北京,2023,3,20,10,4,0,116.405285,39.904989,8
北京,2023,3,20,10,5,0,116.405285,39.904989,8
北京,2023,3,20,10,6,0,116.405285,39.904989,8
北京,2023,3,20,10,7,0,116.405285,39.904989,8
北京,2023,3,20,10,8,0,116.405285,39.904989,8
北京,2023,3,20,10,9,0,116.405285,39.904989,8
北京,2023,3,20,10,10,0,116.405285,39.904989,8
北京,2023,3,20,10,11,0,116.405285,39.904989,8
北京,2023,3,20,10,12,0,116.405285,39.904989,8
北京,2023,3,20,10,13,0,116.405285,39.904989,8
北京,2023,3,20,10,14,0,116.405285,39.904989,8
北京,2023,3,20,10,15,0,116.405285,39.904989,8
北京,2023,3,20,10,16,0,116.405285,39.904989,8
北京,2023,3,20,10,17,0,116.405285,39.904989,8
北京,2023,3,20,10,18,0,116.405285,39.904989,8
北京,2023,3,20,10,19,0,116.405285,39.904989,8
北京,2023,3,20,10,20,0,116.405285,39.904989,8
北京,2023,3,20,10,21,0,116.405285,39.904989,8
北京,2023,3,20,10,22,0,116.405285,39.904989,8
北京,2023,3,20,10,23,0,116.405285,39.904989,8
北京,2023,3,20,10,24,0,116.405285,39.904989,8
北京,2023,3,20,10,25,0,116.405285,39.904989,8
北京,2023,3,20,10,26,0,116.405285,39.904989,8
北京,2023,3,20,10,27,0,116.405285,39.904989,8
北京,2023,3,20,10,28,0,116.405285,39.904989,8
北京,2023,3,20,10,29,0,116.405285,39.904989,8
北京,2023,3,20,10,30,0,116.405285,39.904989,8
北京,2023,3,20,10,31,0,116.405285,39.904989,8
北京,2023,3,20,10,32,0,116.405285,39.904989,8
北京,2023,3,20,10,33,0,116.405285,39.904989,8
北京,2023,3,20,10,34,0,116.405285,39.904989,8
北京,2023,3,20,10,35,0,116.405285,39.904989,8
北京,2023,3,20,10,36,0,116.405285,39.904989,8
北京,2023,3,20,10,37,0,116.405285,39.904989,8
北京,2023,3,20,10,38,0,116.405285,39.904989,8
北京,2023,3,20,10,39,0,116.405285,39.904989,8
北京,2023,3,20,10,40,0,116.405285,39.904989,8
北京,2023,3,20,10,41,0,116.405285,39.904989,8
北京,2023,3,20,10,42,0,116.405285,39.904989,8
北京,2023,3,20,10,43,0,116.405285,39.904989,8
北京,2023,3,20,10,44,0,116.405285,39.904989,8
北京,2023,3,20,10,45,0,116.405285,39.904989,8
北京,2023,3,20,10,46,0,116.405285,39.904989,8
北京,2023,3,20,10,47,0,116.405285,39.904989,8
北京,2023,3,20,10,48,0,116.405285,39.904989,8
北京,2023,3,20,10,49,0,116.405285,39.904989,8
北京,2023,3,20,10,50,0,116.405285,39.904989,8
北京,2023,3,20,10,51,0,116.405285,39.904989,8
北京,2023,3,20,10,52,0,116.405285,39.904989,8
北京,2023,3,20,10,53,0,116.405285,39.904989,8
北京,2023,3,20,10,54,0,116.405285,39.904989,8
北京,2023,3,20,10,55,0,116.405285,39.904989,8
北京,2023,3,20,10,56,0,116.405285,39.904989,8
北京,2023,3,20,10,57,0,116.405285,39.904989,8
北京,2023,3,20,10,58,0,116.405285,39.904989,8
北京,2023,3,20,10,59,0,116.405285,39.904989,8
北京,2023,3,20,11,0,0,116.405285,39.904989,8
北京,2023,3,20,11,1,0,116.405285,39.904989,8
北京,2023,3,20,11,2,0,116.405285,39.904989,8
北京,2023,3,20,11,3,0,116.405285,39.904989,8
北京,2023,3,20,11,4,0,116.405285,39.904989,8
北京,2023,3,20,11,5,0,116.405285,39.904989,8
北京,2023,3,20,11,6,0,116.405285,39.904989,8
北京,2023,3,20,11,7,0,116.405285,39.904989,8
北京,2023,3,20,11,8,0,116.405285,39.904989,8
北京,2023,3,20,11,9,0,116.405285,39.904989,8
北京,2023,3,20,11,10,0,116.405285,39.904989,8
北京,2023,3,20,11,11,0,116.405285,39.904989,8
北京,2023,3,20,11,12,0,116.405285,39.904989,8
北京,2023,3,20,11,13,0,116.405285,39.904989,8
北京,2023,3,20,11,14,0,116.405285,39.904989,8
北京,2023,3,20,11,15,0,116.405285,39.904989,8
北京,2023,3,20,11,16,0,116.405285,39.904989,8
北京,2023,3,20,11,17,0,116.405285,39.904989,8
北京,2023,3,20,11,18,0,116.405285,39.904989,8
北京,2023,3,20,11,19,0,116.405285,39.904989,8
北京,2023,3,20,11,20,0,116.405285,39.904989,8
北京,2023,3,20,11,21,0,116.405285,39.904989,8
北京,2023,3,20,11,22,0,116.405285,39.904989,8
北京,2023,3,20,11,23,0,116.405285,39.904989,8
北京,2023,3,20,11,24,0,116.405285,39.904989,8
北京,2023,3,20,11,25,0,116.405285,39.904989,8
北京,2023,3,20,11,26,0,116.405285,39.904989,8
北京,2023,3,20,11,27,0,116.405285,39.904989,8
北京,2023,3,20,11,28,0,116.405285,39.904989,8
北京,2023,3,20,11,29,0,116.405285,39.904989,8
北京,2023,3,20,11,30,0,116.405285,39.904989,8
北京,2023,3,20,11,31,0,116.405285,39.904989,8
北京,2023,3,20,11,32,0,116.405285,39.904989,8
北京,2023,3,20,11,33,0,116.405285,39.904989,8
北京,2023,3,20,11,34,0,116.405285,39.904989,8
北京,2023,3,20,11,35,0,116.405285,39.904989,8
北京,2023,3,20,11,36,0,116.405285,39.904989,8
北京,2023,3,20,11,37,0,116.405285,39.904989,8
